ID_Pedido,Fecha_Pedido,Fecha_Entrega,ID_Cliente,Cliente,Ciudad,Region,Canal,Vendedor,SKU,Producto,Categoria,Unidades,Precio_Lista,Descuento_Porc,Precio_Final,Ingreso_Bruto,Ingreso_Neto,Costo_Logistico,Unidades_Devueltas,Estado_Entrega,Codigo_Promocion
PED010019,2025-11-10,2025-11-11,CL048,Bodega San Gabriel Comercial,Toluca,Centro,E-commerce,Valeria Solís,SKU002,Café Tradicional Molido 500g,Tradicional,5,148,0.0479,140.91,740,704.55,108.02,0,Entregado a tiempo,
PED010020,2025-12-08,2025-12-16,CL017,Grupo Abasto Metropolitano S. de R.L.,Torreón,Norte,Mayoreo,Paola Luna,SKU019,Drip Bags Selección 8 pzas,Especialidad,281,158,0.0784,145.61,44398,40916.41,2723.79,8,Entregado con atraso,
PED010020,2025-09-12,2025-09-18,CL036,Marketplace Espresso Shop S. de R.L.,CD. de México,Centro,Mayoreo,Sofía Gil,SKU010,Descafeinado Molido 250g,Descafeinado,327,124,0.1465,105.83,40548,34606.41,2580.61,0,Entregado a tiempo,
PED010021,2025-09-04,2025-09-08,CL054,Café de Barrio Premium S.A. de C.V.,Aguascalientes,Occidente,HORECA,Sofía Gil,SKU009,Café Orgánico Grano 1kg,Orgánico,88,462,0.0916,419.68,40656,36931.84,3180.28,0,Entregado a tiempo,
PED010021,2025-12-20,,CL041,Cafetería Estación Central S. de R.L.,CDMX,Centro,E-commerce,Iván Durán,SKU005,Café Premium Molido 500g,Premium,24,224,0.1234,196.36,5376,4712.64,815.8,1,Pendiente,PROMO25
PED010022,2025-10-30,2025-11-13,CL041,Cafetería Estación Central S. de R.L.,CD. de México,Centro,Autoservicio,Luis Peña,SKU010 ,Descafeinado Molido 250g,Descafeinado,90,124,0.1345,107.32,11160,9658.8,638.15,1,Entregado con atraso,
PED010022,2025-10-04,2025-10-05,CL056,Mercados Unidos del Bajío MX,Aguascalientes,Occidente,HORECA,Valeria Solís,SKU015,Cápsulas Clásicas 10 pzas,Cápsulas,11,96,0.0798,88.34,1056,971.74,93.62,0,Entregado a tiempo,
PED010023,2025-10-17,2025-10-20,CL044,Café Ruta 11 ,Puebla,Centro,Autoservicio,Andrés Castañeda,SKU015,Cápsulas Clásicas 10 pzas,Cápsulas,62,96,0.09,87.36,5952,5416.32,442.55,1,Entregado a tiempo,
PED010023,2025-11-04,2025-11-05,CL039,Café y Punto Gourmet,Toluca,Centro,E-commerce,Iván Durán,SKU016,Cápsulas Intensas 10 pzas,Cápsulas,20,102,0.0674,95.13,2040,1902.6,320.58,1,Entregado a tiempo,
PED010024,2025-09-22,2025-09-27,CL030,Bodega San Gabriel S.A. de C.V.,Querétaro,Centro,HORECA,Iván Durán,SKU010,Descafeinado Molido 250g,Descafeinado,24,124,0.093,112.47,2976,2699.28,230.78,0,Entregado a tiempo,
PED010024,2025-11-06,2025-11-11,CL008,Distribuidora Cafetalera del Norte MX,Chihuahua,Norte,Mayoreo,Valeria Solís,SKU003,Café Tradicional Grano 1kg,Tradicional,268,276,0.0808,253.7,73968,67991.6,5369.27,5,Entregado a tiempo,
PED010025,2025-12-30,2026-01-03,CL072,Café de Barrio Premium Comercial,Aguascalientes,Occidente,E-commerce,Valeria Solís,SKU019,Drip Bags Selección 8 pzas,Especialidad,14,158,0.0349,152.49,2212,2134.86,298.22,0,Entregado a tiempo,
PED010025,2025-10-07,2025-10-12,CL019,Café y Punto Gourmet Comercial,Hermosillo,Norte,E-commerce,Paola Luna,SKU019,Drip Bags Selección 8 pzas,Especialidad,29,158,0.0202,154.81,4582,4489.49,801.96,0,Entregado a tiempo,
PED010026,2025-09-07,2025-09-10,CL029,Tiendas Urbanas MX,Ciudad de México,Centro,Autoservicio,Luis Peña,SKU002,Café Tradicional Molido 500g,Tradicional,96,148,0.1171,130.67,14208,12544.32,1228.36,1,Entregado a tiempo,
PED010026,2025-12-02,2025-12-13,CL030,Bodega San Gabriel S.A. de C.V.,Querétaro,Centro,Autoservicio,Paola Luna,SKU016 ,Cápsulas Intensas 10 pzas,Cápsulas,21,102,0.1238,89.37,2142,1876.77,133.8,0,Entregado con atraso,
PED010027,2025-10-07,2025-10-13,CL014,Comercializadora Horizonte Comercial,Saltillo,Norte,E-commerce,Valeria Solís,SKU008,Café Orgánico Molido 500g,Orgánico,34,248,0.0504,235.5,8432,8007.0,1209.05,1,Entregado a tiempo,
PED010027,2025-12-19,2025-12-22,CL025,Mercados Unidos del Bajío S.A. de C.V.,Querétaro,Centro,E-commerce,Iván Durán,SKU013,Café de Altura 340g,Especialidad,33,176,0.0185,172.74,5808,5700.42,746.56,1,Entregado a tiempo,
PED010028,2025-10-01,2025-10-06,CL002,Super Abarrotes La Sierra S. de R.L.,Monterrey,Norte,E-commerce,Andrés Castañeda,SKU001,Café Tradicional Molido 250g,Tradicional,20,78,0.0895,71.02,1560,1420.4,191.58,1,Entregado a tiempo,
PED010028,2025-11-17,2025-11-23,CL020,Super Abarrotes La Sierra,Saltillo,Norte,Autoservicio,Luis Peña,SKU006,Café Premium Grano 1kg,Premium,191,429,0.0938,388.76,81939,74253.16,8019.72,0,Entregado a tiempo,
PED010029,2025-11-13,2025-11-17,CL008,Distribuidora Cafetalera del Norte MX,Chihuahua,Norte,Mayoreo,Iván Durán,SKU011,Descafeinado Molido 500g,Descafeinado,191,236,0.0846,216.03,45076,41261.73,3378.2,3,Entregado a tiempo,
PED010029,2025-10-03,2025-10-05,CL040,Super Abarrotes La Sierra S.A. de C.V.,Toluca,Centro,HORECA,Iván Durán,SKU016,Cápsulas Intensas 10 pzas,Cápsulas,11,102,0.0354,98.39,1122,1082.29,135.01,0,Entregado a tiempo,
PED010030,2025-12-24,2025-12-30,CL054,Café de Barrio Premium S.A. de C.V.,Aguascalientes,Occidente,HORECA,Luis Peña,SKU006,Café Premium Grano 1kg,Premium,16,429,0.0888,390.9,6864,6254.4,571.24,0,Entregado a tiempo,
PED010030,2025-12-02,2025-12-03,CL039,Café y Punto Gourmet,Toluca,Centro,E-commerce,Paola Luna,SKU011,Descafeinado Molido 500g,Descafeinado,15,236,0.0188,231.56,3540,3473.4,403.62,1,Entregado a tiempo,
PED010031,2025-11-26,2025-11-29,CL005,Bodega San Gabriel,Torreón,Norte,Mayoreo,Iván Durán,SKU015,Cápsulas Clásicas 10 pzas,Cápsulas,149,96,0.1998,76.82,14304,11446.18,849.08,3,Entregado a tiempo,PROMO23
PED010031,2025-10-09,2025-10-13,CL067,Café y Punto Gourmet Comercial,Aguascalientes,Occidente,E-commerce,Paola Luna,SKU003,Café Tradicional Grano 1kg,Tradicional,12,276,0.0047,274.7,3312,3296.4,486.03,0,Entregado a tiempo,
PED010032,2025-09-29,2025-10-04,CL061,Corporativo Delta Servicios MX,Guadalajara,Occidente,Autoservicio,Valeria Solís,SKU004,Café Premium Molido 250g,Premium,193,118,0.0962,106.65,22774,20583.45,1455.3,3,Entregado a tiempo,
PED010032,2025-11-17,2025-11-19,CL049,Café y Punto Gourmet S.A. de C.V.,Guadalajara,Occidente,E-commerce,Andrés Castañeda,SKU001,Café Tradicional Molido 250g,Tradicional,36,78,0.0333,75.4,2808,2714.4,348.66,2,Entregado a tiempo,
PED010033,2025-12-09,2025-12-21,CL031,Tiendas Plaza Viva S. de R.L.,Querétaro,Centro,HORECA,Sofía Gil,SKU003,Café Tradicional Grano 1kg,Tradicional,45,276,0.0389,265.26,12420,11936.7,1199.07,1,Entregado con atraso,
PED010033,2025-11-10,2025-11-14,CL019,Café y Punto Gourmet Comercial,Hermosillo,Norte,E-commerce,Andrés Castañeda,SKU018,Cold Brew Concentrado 1L,Bebidas listas,19,168,0.057,158.42,3192,3009.98,593.95,0,Entregado a tiempo,
PED010034,2025-12-11,2025-12-17,CL059,Comercializadora Tostado Fino S.A. de C.V.,León,Occidente,Mayoreo,Luis Peña,SKU005,Café Premium Molido 500g,Premium,303,224,0.1251,195.98,67872,59381.94,4367.47,7,Entregado a tiempo,
PED010034,2025-11-21,2025-11-27,CL028,Grupo Abasto Metropolitano Comercial,CD. de México,Centro,Autoservicio,Sofía Gil,SKU014,Blend Casa 1kg,Especialidad,169,396,0.0407,379.88,66924,64199.72,6531.26,0,Entregado a tiempo,
PED010035,2025-10-01,,CL014,Comercializadora Horizonte Comercial,Saltillo,Norte,Mayoreo,Andrés Castañeda,SKU002,Café Tradicional Molido 500g,Tradicional,153,148,0.1174,130.62,22644,19984.86,1649.01,0,Pendiente,
PED010035,2025-11-21,2025-11-22,CL071,Bodega San Gabriel MX,León,Occidente,Mayoreo,Paola Luna,SKU001,Café Tradicional Molido 250g,Tradicional,66,78,0.1953,62.77,5148,4142.82,307.84,1,Entregado a tiempo,
PED010036,2025-12-18,2025-12-23,CL005,Bodega San Gabriel,Torreón,Norte,Mayoreo,Sofía Gil,SKU004,Café Premium Molido 250g,Premium,324,118,0.1585,99.3,38232,32173.2,2376.58,8,Entregado a tiempo,
PED010036,2025-10-15,2025-10-19,CL011,Cafetería Estación Central S.A. de C.V.,Chihuahua,Norte,Autoservicio,Iván Durán,SKU001,Café Tradicional Molido 250g,Tradicional,123,78,0.1459,66.62,9594,8194.26,737.77,1,Entregado a tiempo,
PED010037,2025-11-19,2025-11-22,CL049,Café y Punto Gourmet S.A. de C.V.,Guadalajara,Occidente,E-commerce,Luis Peña,SKU004,Café Premium Molido 250g,Premium,6,118,0.0634,110.52,708,663.12,84.66,0,Entregado a tiempo,
PED010037,2025-11-11,2025-11-16,CL024,Mercados Unidos del Bajío Comercial,Chihuahua,Norte,Autoservicio,Paola Luna,SKU011,Descafeinado Molido 500g,Descafeinado,116,236,0.0754,218.21,27376,25312.36,2108.16,1,Entregado a tiempo,
PED010038,2025-10-19,2025-10-23,CL067,Café y Punto Gourmet Comercial,Aguascalientes,Occidente,E-commerce,Luis Peña,SKU002,Café Tradicional Molido 500g,Tradicional,18,148,0.0276,143.92,2664,2590.56,378.22,1,Entregado a tiempo,
PED010038,2025-12-31,2026-01-06,CL018,Distribuidora Monte Claro MX,Hermosillo,Norte,HORECA,Andrés Castañeda,SKU007,Café Orgánico Molido 250g,Orgánico,108,132,0.1041,118.26,14256,12772.08,1500.96,1,Entregado a tiempo,
PED010039,2025-11-02,2025-11-08,CL041,Cafetería Estación Central S. de R.L.,CDMX,Centro,Autoservicio,Iván Durán,SKU019,Drip Bags Selección 8 pzas,Especialidad,212,158,0.068,147.26,33496,31219.12,2662.68,6,Entregado a tiempo,
PED010039,2025-09-18,2025-10-01,CL009,Café Ruta 11 Comercial,Monterrey,Norte,HORECA,Valeria Solís,SKU013,Café de Altura 340g,Especialidad,97,176,0.0838,161.25,17072,15641.25,1789.34,3,Entregado con atraso,
PED010040,2025-12-27,2025-12-28,CL069,Tiendas Urbanas MX S.A. de C.V.,Morelia,Occidente,HORECA,Iván Durán,SKU001,Café Tradicional Molido 250g,Tradicional,27,78,0.091,70.9,2106,1914.3,229.25,1,Entregado a tiempo,
PED010040,2025-11-28,2025-12-01,CL067,Café y Punto Gourmet Comercial,Aguascalientes,Occidente,E-commerce,Sofía Gil,SKU012,Espresso Grano 1kg,Especialidad,26,468,0.1253,409.36,12168,10643.36,1343.0,1,Entregado a tiempo,PROMO18
PED010041,2025-10-31,,CL067,Café y Punto Gourmet Comercial,Aguascalientes,Occidente,E-commerce,Paola Luna,SKU002,Café Tradicional Molido 500g,Tradicional,21,148,0.0115,146.3,3108,3072.3,518.46,0,Pendiente,
PED010041,2025-12-12,2025-12-13,CL055,Cafe Ruta 11 S. de R.L.,León,Occidente,Mayoreo,Paola Luna,SKU007,Café Orgánico Molido 250g,Orgánico,119,132,0.1337,114.35,15708,13607.65,1016.48,1,Entregado a tiempo,
PED010042,2025-09-26,2025-09-29,CL024,Mercados Unidos del Bajío Comercial,Chihuahua,Norte,Autoservicio,Iván Durán,SKU008,Café Orgánico Molido 500g,Orgánico,79,248,0.0713,230.32,19592,18195.28,1643.86,0,Entregado a tiempo,
PED010042,2025-10-01,2025-10-10,CL018,Distribuidora Monte Claro MX,Hermosillo,Norte,HORECA,Sofía Gil,SKU004,Café Premium Molido 250g,Premium,71,118,0.0681,109.96,8378,7807.16,894.35,2,Entregado con atraso,
PED010043,2025-10-28,2025-11-11,CL024,Mercados Unidos del Bajío Comercial,Chihuahua,Norte,Autoservicio,Sofía Gil,SKU013,Café de Altura 340g,Especialidad,233,176,0.0537,166.55,41008,38806.15,3880.29,3,Entregado con atraso,
PED010043,2025-09-29,2025-10-03,CL038,Comercializadora Horizonte Comercial,Querétaro,Centro,Autoservicio,Luis Peña,SKU011,Descafeinado Molido 500g,Descafeinado,55,236,0.0911,214.5,12980,11797.5,1002.55,1,Entregado a tiempo,
PED010044,2025-09-05,2025-09-07,CL032,Café de Barrio Premium MX,Puebla,Centro,Autoservicio,Sofía Gil,SKU008,Café Orgánico Molido 500g,Orgánico,101,248,0.1394,213.43,25048,21556.43,1673.11,2,Entregado a tiempo,
PED010044,2025-11-08,2025-11-09,CL008,Distribuidora Cafetalera del Norte MX,Chihuahua,Norte,Mayoreo,Sofía Gil,SKU003,Café Tradicional Grano 1kg,Tradicional,110,276,0.1287,240.48,30360,26452.8,1576.84,2,Entregado a tiempo,
PED010045,2025-12-01,2025-12-04,CL017,Grupo Abasto Metropolitano S. de R.L.,Torreón,Norte,Autoservicio,Andrés Castañeda,SKU004,Café Premium Molido 250g,Premium,75,118,0.0977,106.47,8850,7985.25,864.82,0,Entregado a tiempo,
PED010045,2025-09-01,2025-09-04,CL063,Cafetería Estación Central,Puerto Vallarta,Occidente,Mayoreo,Paola Luna,SKU016,Cápsulas Intensas 10 pzas,Cápsulas,71,102,0.103,91.49,7242,6495.79,428.94,0,Entregado a tiempo,
PED010046,2025-09-06,2025-09-09,CL063,Cafetería Estación Central,Puerto Vallarta,Occidente,Autoservicio,Luis Peña,SKU002,Café Tradicional Molido 500g,Tradicional,212,148,0.1329,128.33,31376,27205.96,2838.42,6,Entregado a tiempo,
PED010046,2025-11-23,2025-11-26,CL048,Bodega San Gabriel Comercial,Toluca,Centro,E-commerce,Andrés Castañeda,SKU002,Café Tradicional Molido 500g,Tradicional,20,148,0.1212,130.06,2960,2601.2,388.96,1,Entregado a tiempo,PROMO48
PED010047,2025-09-30,2025-10-05,CL017,Grupo Abasto Metropolitano S. de R.L.,Torreón,Norte,Autoservicio,Iván Durán, SKU006,Café Premium Grano 1kg,Premium,199,429,0.0768,396.05,85371,78813.95,7736.22,4,Entregado a tiempo,
PED010047,2025-12-02,2025-12-04,CL022,Comercializadora Tostado Fino S. de R.L.,Hermosillo,Norte,Autoservicio,Sofía Gil,SKU003,Café Tradicional Grano 1kg,Tradicional,203,276,0.1087,246.0,56028,49938.0,4354.89,6,Entregado a tiempo,
PED010048,2025-12-02,2025-12-07,CL071,Bodega San Gabriel MX,León,Occidente,Mayoreo,Valeria Solís,SKU012 ,Espresso Grano 1kg,Especialidad,37,468,0.1211,411.33,17316,15219.21,853.06,1,Entregado a tiempo,
PED010048,2025-11-12,2025-11-18,CL041,Cafetería Estación Central S. de R.L.,CDMX,Centro,Autoservicio,Iván Durán,SKU007,Café Orgánico Molido 250g,Orgánico,151,132,0.0473,125.76,19932,18989.76,1910.85,2,Entregado a tiempo,
PED010049,2025-11-08,2025-11-14,CL052,Distribuidora Cafetalera del Norte Comercial,Aguascalientes,Occidente,Mayoreo,Iván Durán,SKU011,Descafeinado Molido 500g,Descafeinado,166,236,0.1705,195.76,39176,32496.16,2306.34,4,Entregado a tiempo,
PED010049,2025-09-12,2025-09-14,CL031,Tiendas Plaza Viva S. de R.L.,Querétaro,Centro,HORECA,Valeria Solís,SKU018,Cold Brew Concentrado 1L,Bebidas listas,45,168,0.1083,149.81,7560,6741.45,694.16,1,Entregado a tiempo,PROMO08
PED010050,2025-10-25,2025-10-26,CL016,Cadena Selecta Retail S.A. de C.V.,Monterrey,Norte,Autoservicio,Sofía Gil,SKU003,Café Tradicional Grano 1kg,Tradicional,28,276,0.0855,252.4,7728,7067.2,703.48,0,Entregado a tiempo,
PED010050,2025-10-20,2025-10-23,CL006,Mercados Unidos del Bajío S.A. de C.V.,Chihuahua,Norte,Autoservicio,Luis Peña,SKU017,Cápsulas Descafeinadas 10 pzas,Cápsulas,57,108,0.1314,93.81,6156,5347.17,542.77,0,Entregado a tiempo,
PED010051,2025-11-06,2025-11-10,CL023,Bodega San Gabriel MX,Hermosillo,Norte,Mayoreo,Iván Durán,SKU019,Drip Bags Selección 8 pzas,Especialidad,59,158,0.2285,121.9,9322,7192.1,572.39,0,Entregado a tiempo,PROMO23
PED010051,2025-09-20,2025-09-22,CL070,Distribuidora Cafetalera del Norte S. de R.L.,Puerto Vallarta,Occidente,Mayoreo,Sofía Gil,SKU001,Café Tradicional Molido 250g,Tradicional,36,78,0.207,61.85,2808,2226.6,167.9,0,Entregado a tiempo,
PED010052,2025-12-24,2025-12-27,CL036,Marketplace Espresso Shop S. de R.L.,CDMX,Centro,Mayoreo,Iván Durán,SKU016,Cápsulas Intensas 10 pzas,Cápsulas,214,102,0.0715,94.71,21828,20267.94,1595.68,2,Entregado a tiempo,
PED010052,2025-10-05,2025-10-13,CL042,Distribuidora Cafetalera del Norte MX,Toluca,Centro,Mayoreo,Iván Durán,SKU003,Café Tradicional Grano 1kg,Tradicional,93,276,0.1139,244.56,25668,22744.08,1441.94,1,Entregado con atraso,
